Date,"Ferric chloride, mg/L","Cationic Polimer, mg/L"
1/2/2017,24,2.599999905
1/3/2017,24,2.599999905
1/4/2017,24,2.599999905
1/5/2017,24,1.550069388
1/6/2017,24,5.380173172
1/7/2017,24,5.517676431
1/8/2017,24,5.655179691
1/9/2017,24,5.79268295
1/10/2017,24,2.944436636
1/11/2017,24,2.400000095
1/12/2017,24,2.400000095
1/13/2017,24,2.400000095
1/14/2017,24,2.400000095
1/15/2017,24,2.400000095
1/16/2017,24,2.400000095
1/17/2017,24,2.400000095
1/18/2017,24,2.400000095
1/19/2017,24,2.400000095
1/20/2017,24,2.400000095
1/21/2017,24,2.400000095
1/22/2017,24,2.400000095
1/23/2017,24,2.400000095
1/24/2017,24,1.444166724
1/25/2017,25.39097222,2.406336458
1/26/2017,26,2.416866593
1/27/2017,26,2.427396728
1/28/2017,26,2.437926864
1/29/2017,26,2.448456999
1/30/2017,26,2.458987134
1/31/2017,26,2.469517269
2/1/2017,26,2.480047405
2/2/2017,26,2.49057754
2/3/2017,26,2.501107675
2/4/2017,26,2.51163781
2/5/2017,26,2.522167946
2/6/2017,26,2.532698081
2/7/2017,26,2.543228216
2/8/2017,26,2.553758351
2/9/2017,26,2.564288487
2/10/2017,26,2.574818622
2/11/2017,26,2.585348757
2/12/2017,26,2.598387129
2/13/2017,26,2.599999905
2/14/2017,26,2.599999905
2/15/2017,26,2.599999905
2/16/2017,26,2.599999905
2/17/2017,26,2.599999905
2/18/2017,26,2.599999905
2/19/2017,26,2.599999905
2/20/2017,26,2.599999905
2/21/2017,26,2.599999905
2/22/2017,26,2.599999905
2/23/2017,26,2.599999905
2/24/2017,26,2.599999905
2/25/2017,26,2.599999905
2/26/2017,26,2.599999905
2/27/2017,26,2.599999905
2/28/2017,26,2.599999905
3/1/2017,26,2.599999905
3/2/2017,26,2.599999905
3/3/2017,26,2.599999905
3/4/2017,26,2.599999905
3/5/2017,26,2.599999905
3/6/2017,26,2.599999905
3/7/2017,26,2.599999905
3/8/2017,26,2.599999905
3/9/2017,26,2.599999905
3/10/2017,26,2.599999905
3/11/2017,26,2.599999905
3/12/2017,26,2.599999905
3/13/2017,26,2.599999905
3/14/2017,26,2.599999905
3/15/2017,26,2.599999905
3/16/2017,26,2.599999905
3/17/2017,26,2.599999905
3/18/2017,26,2.599999905
3/19/2017,26,2.599999905
3/20/2017,26,2.599999905
3/21/2017,26,2.599999905
3/22/2017,26,2.599999905
3/23/2017,26,2.599999905
3/24/2017,26,2.599999905
3/25/2017,26,2.599999905
3/26/2017,26,2.599999905
3/27/2017,26,2.599999905
3/28/2017,26,2.599999905
3/29/2017,26,2.599999905
3/30/2017,26,2.599999905
3/31/2017,26,2.599999905
4/1/2017,26,2.599999905
4/2/2017,26,2.599999905
4/3/2017,26,2.599999905
4/4/2017,26,2.599999905
4/5/2017,26,2.599999905
4/6/2017,26,2.599999905
4/7/2017,26,2.599999905
4/8/2017,26,2.599999905
4/9/2017,26,2.599999905
4/10/2017,26,2.599999905
4/11/2017,26,2.599999905
4/12/2017,26,2.599999905
4/13/2017,26,2.599999905
4/14/2017,26,2.599999905
4/15/2017,26,2.599999905
4/16/2017,26,2.599999905
4/17/2017,26,2.599999905
4/18/2017,26,2.599999905
4/19/2017,26,2.599999905
4/20/2017,26,2.599999905
4/21/2017,26,2.599999905
4/22/2017,26,2.599999905
4/23/2017,26,2.599999905
4/24/2017,26,2.599999905
4/25/2017,26,2.599999905
4/26/2017,26,2.599999905
4/27/2017,26,2.599999905
4/28/2017,26,2.599999905
4/29/2017,26,2.599999905
4/30/2017,26,2.599999905
5/1/2017,26,2.599999905
5/2/2017,26,2.599999905
5/3/2017,26,2.599999905
5/4/2017,26,2.599999905
5/5/2017,26,2.599999905
5/6/2017,26,2.599999905
5/7/2017,26,2.599999905
5/8/2017,26,2.599999905
5/9/2017,26,2.599999905
5/10/2017,26,2.599999905
5/11/2017,26,2.599999905
5/12/2017,26,2.599999905
5/13/2017,26,2.599999905
5/14/2017,26,2.599999905
5/15/2017,26,2.599999905
5/16/2017,26,2.599999905
5/17/2017,26,2.599999905
5/18/2017,26,2.599999905
5/19/2017,26,2.599999905
5/20/2017,26,2.599999905
5/21/2017,26,2.599999905
5/22/2017,26,2.599999905
5/23/2017,26,2.599999905
5/24/2017,26,2.599999905
5/25/2017,26,2.599999905
5/26/2017,26,2.599999905
5/27/2017,26,2.599999905
5/28/2017,26,2.599999905
5/29/2017,26,2.599999905
5/30/2017,26,2.599999905
5/31/2017,26,2.599999905
6/1/2017,26,2.599999905
6/2/2017,26,2.599999905
6/3/2017,26,2.599999905
6/4/2017,26,2.599999905
6/5/2017,26,2.599999905
6/6/2017,26,2.599999905
6/7/2017,26,2.599999905
6/8/2017,26,2.599999905
6/9/2017,26,2.599999905
6/10/2017,26,2.599999905
6/11/2017,26,2.599999905
6/12/2017,26,2.599999905
6/13/2017,26,2.599999905
6/14/2017,26,2.599999905
6/15/2017,26,2.599999905
6/16/2017,26,2.599999905
6/17/2017,26,2.599999905
6/18/2017,26,2.599999905
6/19/2017,26,2.599999905
6/20/2017,26,2.599999905
6/21/2017,26,2.599999905
6/22/2017,26,2.599999905
6/23/2017,26,2.599999905
6/24/2017,26,2.599999905
6/25/2017,26,2.599999905
6/26/2017,26,2.599999905
6/27/2017,26,2.599999905
6/28/2017,26,2.599999905
6/29/2017,26,2.599999905
6/30/2017,26,2.599999905
7/1/2017,26,2.599999905
7/2/2017,26,2.599999905
7/3/2017,26,2.599999905
7/4/2017,26,2.599999905
7/5/2017,26,2.599999905
7/6/2017,23.58333333,1.183541623
7/7/2017,22,2.200000048
7/8/2017,22,2.200000048
7/9/2017,22,2.200000048
7/10/2017,22,2.200000048
7/11/2017,22,2.200000048
7/12/2017,22,2.200000048
7/13/2017,22,2.200000048
7/14/2017,22,2.200000048
7/15/2017,22,2.200000048
7/16/2017,22,2.200000048
7/17/2017,22,2.200000048
7/18/2017,22,2.200000048
7/19/2017,22,2.200000048
7/20/2017,22,2.200000048
7/21/2017,22,2.200000048
7/22/2017,22,2.200000048
7/23/2017,22,2.200000048
7/24/2017,22,2.200000048
7/25/2017,22,2.200000048
7/26/2017,22,2.200000048
7/28/2017,22,2.200000048
7/29/2017,22,2.200000048
7/30/2017,22,2.200000048
7/31/2017,22,2.200000048
8/1/2017,22,2.200000048
8/2/2017,22,2.200000048
8/3/2017,22,2.200000048
8/4/2017,22,2.200000048
8/5/2017,22,2.200000048
8/6/2017,22,2.200000048
8/7/2017,22,2.200000048
8/8/2017,22,2.200000048
8/9/2017,22,2.200000048
8/10/2017,22,2.200000048
8/11/2017,22,2.200000048
8/12/2017,22,2.200000048
8/13/2017,22,2.200000048
8/14/2017,22,2.200000048
8/15/2017,22,2.200000048
8/16/2017,22,2.200000048
8/17/2017,22,2.200000048
8/18/2017,22,2.200000048
8/19/2017,22,2.200000048
8/20/2017,22,2.200000048
8/21/2017,22,2.200000048
8/22/2017,22,2.200000048
8/23/2017,22,2.200000048
8/24/2017,22,2.200000048
8/25/2017,22,2.200000048
8/26/2017,22.0453653,2.206602555
8/27/2017,22.1055542,2.215362503
8/28/2017,22.16574311,2.224122452
8/29/2017,22.22593201,2.232882401
8/30/2017,22.28612092,2.241642349
8/31/2017,22.34630982,2.250402298
9/1/2017,22.40649873,2.259162246
9/2/2017,22.46668764,2.267922195
9/3/2017,22.52687654,2.276682144
9/4/2017,22.58706545,2.285442092
9/5/2017,22.64725435,2.294202041
9/6/2017,22.70744326,2.302961989
9/7/2017,22.76763216,2.311721938
9/8/2017,22.82782107,2.320481887
9/9/2017,22.88800997,2.329241835
9/10/2017,22.94819888,2.338001784
9/11/2017,23.00838778,2.346761732
9/12/2017,23.06857669,2.355521681
9/13/2017,23.12876559,2.36428163
9/14/2017,23.1889545,2.373041578
9/15/2017,23.24914341,2.381801527
9/16/2017,23.30933231,2.390561475
9/17/2017,23.36952122,2.399321424
9/18/2017,23.42971012,2.408081373
9/19/2017,23.48989903,2.416841321
9/20/2017,23.55008793,2.42560127
9/21/2017,23.61027684,2.434361218
9/22/2017,23.67046574,2.443121167
9/23/2017,23.73065465,2.451881116
9/24/2017,23.79084355,2.460641064
9/25/2017,23.85103246,2.469401013
9/26/2017,23.91122136,2.478160961
9/27/2017,24.3555171,2.48692091
9/28/2017,25,2.497870423
9/29/2017,26.63854167,2.735691107
9/30/2017,29.35763889,2.799999952
10/1/2017,30,2.799999952
10/2/2017,30,2.799999952
10/3/2017,30,2.799999952
10/4/2017,30,2.799999952
10/5/2017,30,2.799999952
10/6/2017,30,2.799999952
10/7/2017,30,2.799999952
10/8/2017,30,2.799999952
10/9/2017,30,2.799999952
10/10/2017,30,2.799999952
10/11/2017,30,2.900222477
10/12/2017,30,3
10/13/2017,30,3
10/14/2017,35.61714564,3.400000095
10/15/2017,36,3.264823605
10/16/2017,31.93055556,3.029790271
10/17/2017,28.71597222,2.925232942
10/18/2017,28,2.80142877
10/19/2017,28,2.677624597
10/20/2017,26.30416667,2.523396935
10/21/2017,24.95814856,2.5
10/22/2017,24.88411162,2.5
10/23/2017,24.81007468,2.5
10/24/2017,24.73603774,2.5
10/25/2017,24.6620008,2.5
10/26/2017,24.58796386,2.5
10/27/2017,24.51392691,2.5
10/28/2017,24.43988997,2.5
10/29/2017,24.36585303,2.5
10/30/2017,24.29181609,2.5
10/31/2017,24.21777915,2.5
11/1/2017,24.14374221,2.5
11/2/2017,24.06970527,2.5
11/3/2017,23.99566832,2.5
11/4/2017,23.92163138,2.5
11/5/2017,23.84759444,2.5
11/6/2017,23.7735575,2.5
11/7/2017,23.69952056,2.5
11/8/2017,23.62548362,2.5
11/9/2017,23.55144668,2.5
11/10/2017,23.47740974,2.5
11/11/2017,23.40337279,2.5
11/12/2017,23.32933585,2.5
11/13/2017,23.25529891,2.5
11/14/2017,23.18126197,2.5
11/15/2017,23.10722503,2.5
11/16/2017,23.01487702,2.5
11/17/2017,23,2.5
11/18/2017,23,2.5
11/19/2017,23,2.5
11/20/2017,23,2.5
11/21/2017,23,2.5
11/22/2017,23,2.5
11/23/2017,23,2.5
11/24/2017,23,2.5
11/25/2017,23,2.5
11/26/2017,23,2.5
11/27/2017,23,2.5
11/28/2017,23,0.989583333
11/29/2017,23,2.299999952
11/30/2017,22.59166667,2.299999952
12/1/2017,21,2.299999952
12/2/2017,21,2.299999952
12/3/2017,21,2.299999952
12/4/2017,21,2.299999952
12/5/2017,21,2.224299984
12/6/2017,21,2.099999905
12/7/2017,21,2.099999905
12/8/2017,21,2.099999905
12/9/2017,21,2.099999905
12/10/2017,21,2.099999905
12/11/2017,21,2.099999905
12/12/2017,21,2.099999905
12/13/2017,21,2.099999905
12/14/2017,21,2.099999905
12/15/2017,21,2.099999905
12/16/2017,21,2.099999905
12/17/2017,21,2.099999905
12/18/2017,21,2.099999905
12/19/2017,21,2.099999905
12/20/2017,21,2.099999905
12/21/2017,21,2.099999905
12/22/2017,21,2.099999905
12/23/2017,21,2.099999905
12/24/2017,21,2.099999905
12/25/2017,21,2.099999905
12/26/2017,21,2.099999905
12/27/2017,21,2.099999905
12/28/2017,21,2.099999905
12/29/2017,21,2.099999905
12/30/2017,21,2.099999905
12/31/2017,21,2.099999905
1/1/2018,21,2.099999905
1/2/2018,21,2.099999905
1/3/2018,21,2.099999905
1/4/2018,21,2.099999905
1/5/2018,21,2.099999905
1/6/2018,21,2.099999905
1/7/2018,21,2.099999905
1/8/2018,21,2.099999905
1/9/2018,21,2.099999905
1/10/2018,21,2.099999905
1/11/2018,21,2.099999905
1/12/2018,21,2.099999905
1/13/2018,21,2.099999905
1/14/2018,21,2.099999905
1/15/2018,21,2.099999905
1/16/2018,21,2.099999905
1/17/2018,21.24398971,2.144931618
1/18/2018,22.63193801,2.277973889
1/19/2018,23,2.299999952
1/20/2018,23,2.299999952
1/21/2018,23,2.299999952
1/22/2018,23,2.299999952
1/23/2018,23,2.299999952
1/24/2018,23,2.299999952
1/25/2018,23,2.299999952
1/26/2018,23,2.299999952
1/27/2018,23,2.299999952
1/28/2018,23,2.299999952
1/29/2018,23,2.299999952
1/30/2018,23,2.299999952
1/31/2018,23,2.299999952
2/1/2018,23,2.299999952
2/2/2018,23,2.299999952
2/3/2018,23,2.299999952
2/4/2018,23,2.299999952
2/5/2018,23,2.299999952
2/6/2018,23,2.299999952
2/7/2018,23,2.299999952
2/8/2018,23,2.299999952
2/9/2018,23,2.299999952
2/10/2018,23,2.299999952
2/11/2018,23,2.299999952
2/12/2018,23,2.299999952
2/13/2018,23,2.299999952
2/14/2018,23,2.299999952
2/15/2018,23,2.299999952
2/16/2018,23,2.299999952
2/17/2018,23,2.299999952
2/18/2018,23,2.299999952
2/19/2018,23,2.299999952
2/20/2018,23,2.299999952
2/21/2018,23,2.299999952
2/22/2018,23,2.299999952
2/23/2018,23,2.299999952
2/24/2018,23,2.299999952
2/25/2018,23,2.299999952
2/26/2018,23,2.299999952
2/27/2018,23,2.299999952
2/28/2018,23,2.299999952
3/1/2018,23.04400583,0.055049897
3/2/2018,23.11831936,0.148013779
3/3/2018,23.1926329,0.240977662
3/4/2018,23.26694643,0.333941544
3/5/2018,23.34125997,0.426905426
3/6/2018,23.4155735,0.519869308
3/7/2018,23.48988704,0.612833191
3/8/2018,23.56420057,0.705797073
3/9/2018,23.63851411,0.798760955
3/10/2018,23.71282764,0.891724837
3/11/2018,23.78714118,0.984688719
3/12/2018,23.86145471,1.077652602
3/13/2018,23.93576825,1.170616484
3/14/2018,24.01008178,1.263580366
3/15/2018,24.08439532,1.356544248
3/16/2018,24.15870885,1.449508131
3/17/2018,24.23302239,1.542472013
3/18/2018,24.30733592,1.635435895
3/19/2018,24.38164946,1.728399777
3/20/2018,24.45596299,1.82136366
3/21/2018,24.53027653,1.914327542
3/22/2018,24.60459006,2.007291424
3/23/2018,24.6789036,2.100255306
3/24/2018,24.75321714,2.193219189
3/25/2018,24.82753067,2.286183071
3/26/2018,24.90184421,2.379146953
3/27/2018,24.99235061,2.491633251
3/28/2018,25,2.494620615
3/29/2018,25,2.486935778
3/30/2018,25,2.479250942
3/31/2018,25,2.471566106
4/1/2018,25,2.463881269
4/2/2018,25,2.456196433
4/3/2018,25,2.448511597
4/4/2018,25,2.44082676
4/5/2018,25,2.433141924
4/6/2018,25,2.425457088
4/7/2018,25,2.417772251
4/8/2018,25,2.410087415
4/9/2018,25,2.402402579
4/10/2018,25,2.394717742
4/11/2018,25,2.387032906
4/12/2018,25,2.37934807
4/13/2018,25,2.371663233
4/14/2018,25,2.363978397
4/15/2018,25,2.356293561
4/16/2018,25,2.348608724
4/17/2018,25,2.340923888
4/18/2018,25,2.333239052
4/19/2018,25,2.325554215
4/20/2018,25,2.317869379
4/21/2018,25,2.310184543
4/22/2018,25,2.302499706
4/23/2018,25,2.29481487
4/24/2018,25,2.287130034
4/25/2018,25,2.279445198
4/26/2018,25,2.271760361
4/27/2018,25,2.264075525
4/28/2018,25,2.256390689
4/29/2018,25,2.248705852
4/30/2018,25,2.241021016
5/1/2018,25,2.23333618
5/2/2018,25,2.225651343
5/3/2018,25,2.217966507
5/4/2018,25,2.210281671
5/5/2018,25,2.202596834
5/6/2018,25,2.194911998
5/7/2018,25,2.187227162
5/8/2018,25,2.179542325
5/9/2018,25,2.171857489
5/10/2018,25,2.164172653
5/11/2018,25,2.156487816
5/12/2018,25,2.14880298
5/13/2018,25,2.141118144
5/14/2018,25,2.133433307
5/15/2018,25,2.125748471
5/16/2018,25,2.118063635
5/17/2018,25,2.110378798
5/18/2018,25,2.102693962
5/19/2018,25,2.095009126
5/20/2018,25,2.087324289
5/21/2018,25,2.079639453
5/22/2018,25,2.071954617
5/23/2018,25,2.06426978
5/24/2018,25,2.056584944
5/25/2018,25,2.048900108
5/26/2018,25,2.041215271
5/27/2018,25,2.033530435
5/28/2018,25,2.025845599
5/29/2018,25,2.018160763
5/30/2018,25,2.010475926
5/31/2018,21.81761312,2.001014624
6/1/2018,20.0112542,2
6/2/2018,19.034375,1.05
6/3/2018,18,2
6/4/2018,18,2
6/5/2018,18,2
6/6/2018,18,2
6/7/2018,18,2
6/8/2018,18,1.895512811
6/9/2018,18,1.799999952
6/10/2018,18,1.799999952
6/11/2018,18,1.799999952
6/12/2018,18,1.799999952
6/13/2018,18,1.799999952
6/14/2018,18,1.799999952
6/15/2018,18,1.799999952
6/16/2018,18,1.799999952
6/17/2018,18,1.799999952
6/18/2018,18,1.799999952
6/19/2018,18,1.799999952
6/20/2018,18,1.799999952
6/21/2018,18,1.799999952
6/22/2018,18,1.799999952
6/23/2018,18,1.799999952
6/24/2018,18,1.799999952
6/25/2018,18,1.799999952
6/26/2018,18,1.799999952
6/27/2018,18,1.799999952
6/28/2018,18,1.799999952
6/29/2018,18,1.799999952
6/30/2018,18,1.799999952
7/1/2018,18,1.799999952
7/2/2018,18,1.799999952
7/3/2018,18,1.799999952
7/4/2018,18,1.799999952
7/5/2018,18,1.799999952
7/6/2018,18,1.799999952
7/7/2018,18,1.799999952
7/8/2018,18,1.799999952
7/9/2018,18,1.799999952
7/10/2018,18,1.799999952
7/11/2018,18,1.799999952
7/12/2018,18,1.799999952
7/13/2018,18,1.799999952
7/14/2018,18,1.799999952
7/15/2018,18,1.799999952
7/16/2018,18,1.799999952
7/17/2018,18,1.799999952
7/18/2018,18,1.799999952
7/19/2018,18,1.799999952
7/20/2018,18,1.799999952
7/21/2018,18,1.799999952
7/22/2018,18,1.799999952
7/23/2018,18,1.799999952
7/24/2018,18,1.799999952
7/25/2018,18,1.799999952
7/26/2018,18,1.799999952
7/27/2018,18,1.799999952
7/28/2018,18,1.799999952
7/29/2018,18,1.799999952
7/30/2018,18,1.799999952
7/31/2018,18,1.799999952
8/1/2018,17.9733134,1.794131456
8/2/2018,17.93196851,1.785039538
8/3/2018,17.89062361,1.77594762
8/4/2018,17.84927871,1.766855703
8/5/2018,17.80793382,1.757763785
8/6/2018,17.76658892,1.748671867
8/7/2018,17.72524403,1.739579949
8/8/2018,17.68389913,1.730488031
8/9/2018,17.64255423,1.721396114
8/10/2018,17.60120934,1.712304196
8/11/2018,17.55986444,1.703212278
8/12/2018,17.51851955,1.69412036
8/13/2018,17.47717465,1.685028442
8/14/2018,17.43582975,1.675936525
8/15/2018,17.39448486,1.666844607
8/16/2018,17.35313996,1.657752689
8/17/2018,17.31179507,1.648660771
8/18/2018,17.27045017,1.639568853
8/19/2018,17.22910528,1.630476936
8/20/2018,17.18776038,1.621385018
8/21/2018,17.14641548,1.6122931
8/22/2018,17.10507059,1.603201182
8/23/2018,17.06372569,1.594109264
8/24/2018,17.01211516,1.585017347
8/25/2018,16.10033747,1.575925429
8/26/2018,16.05192847,1.566833511
8/27/2018,16.12311077,1.557741593
8/28/2018,16.19429306,1.548649675
8/29/2018,16.26547535,1.539557758
8/30/2018,16.33665765,1.53046584
8/31/2018,16.40783994,1.521373922
9/1/2018,16.47902223,1.512282004
9/2/2018,16.55020453,1.503190086
9/3/2018,16.62138682,1.494098169
9/4/2018,16.69256911,1.485006251
9/5/2018,16.76375141,1.475914333
9/6/2018,16.8349337,1.466822415
9/7/2018,16.90611599,1.457730497
9/8/2018,16.97729829,1.44863858
9/9/2018,17.04848058,1.439546662
9/10/2018,17.11966287,1.430454744
9/11/2018,17.19084517,1.421362826
9/12/2018,17.26202746,1.412270908
9/13/2018,17.33320975,1.401111527
9/14/2018,17.40439205,1.428847535
9/15/2018,17.47557434,1.4732047
9/16/2018,17.54675663,1.517561865
9/17/2018,17.61793893,1.56191903
9/18/2018,17.68912122,1.606276195
9/19/2018,17.76030351,1.65063336
9/20/2018,17.83148581,1.694990525
9/21/2018,17.9026681,1.73934769
9/22/2018,16.77650476,1.794013767
9/23/2018,16,1.799999952
9/24/2018,16,1.799999952
9/25/2018,16,1.799999952
9/26/2018,17.45555556,1.799999952
9/27/2018,18,1.799999952
9/28/2018,18,1.799999952
9/29/2018,18,1.799999952
9/30/2018,18,1.799999952
10/1/2018,8.51875,0.852499977
10/9/2018,11.16149285,0.976630608
10/10/2018,16,1.399999976
10/11/2018,16,1.430138789
10/12/2018,16,1.500010888
10/13/2018,16,1.569882987
10/14/2018,16,1.639755086
10/15/2018,16,1.709627185
10/16/2018,20.77222222,2.129766272
10/17/2018,24.90520833,2.452503532
10/18/2018,25,2.475766857
10/19/2018,25,2.445330115
10/20/2018,25,2.414893372
10/21/2018,25,2.384456629
10/22/2018,25,2.354019886
10/23/2018,25,2.323583144
10/24/2018,25,2.293146401
10/25/2018,23.68333333,2.262709658
10/26/2018,23,2.232272916
10/27/2018,23,2.201836173
10/28/2018,23,2.17139943
10/29/2018,23,2.140962688
10/30/2018,21.69166667,2.10364016
10/31/2018,21,2.099999905
11/1/2018,21,2.099999905
11/2/2018,21,2.099999905
11/3/2018,21,2.099999905
11/4/2018,21,2.099999905
11/5/2018,21,2.086398199
11/6/2018,21,2.027304954
11/7/2018,21,2.033700297
11/8/2018,21,2.116333952
11/9/2018,21.98611111,2.125813085
11/10/2018,23,2.135292219
11/11/2018,23,2.144771352
11/12/2018,23,2.154250486
11/13/2018,23,2.163729619
11/14/2018,23,2.173208753
11/15/2018,23,2.182687886
11/16/2018,23,2.19216702
11/17/2018,23,2.201646153
11/18/2018,23,2.211125287
11/19/2018,23,2.22060442
11/20/2018,23,2.230083553
11/21/2018,23,2.239562687
11/22/2018,23,2.24904182
11/23/2018,23,2.258520954
11/24/2018,23,2.268000087
11/25/2018,23,2.277479221
11/26/2018,23,2.286958354
11/27/2018,23,2.298661039
11/28/2018,23,2.299999952
11/29/2018,23,2.299999952
11/30/2018,23,2.299999952
12/1/2018,23,2.299999952
12/2/2018,23,2.299999952
12/3/2018,23,2.299999952
12/4/2018,23,2.299999952
12/5/2018,23,2.299999952
12/6/2018,23,2.299999952
12/7/2018,23,2.299999952
12/8/2018,23,2.299999952
12/9/2018,23,2.299999952
12/10/2018,23,2.299999952
12/11/2018,23,2.299999952
12/12/2018,23,2.299999952
12/13/2018,23,2.299999952
12/14/2018,23,2.299999952
12/15/2018,23,2.299999952
12/16/2018,23,2.299999952
12/17/2018,23,2.299999952
12/18/2018,23,2.299999952
12/19/2018,23,2.299999952
12/20/2018,23,2.299999952
12/21/2018,23,2.299999952
12/22/2018,23,2.299999952
12/23/2018,22.98480584,2.29848054
12/24/2018,22.94516772,2.294516738
12/25/2018,22.90552959,2.290552935
12/26/2018,22.86589147,2.286589132
12/27/2018,22.82625335,2.282625329
12/28/2018,22.78661522,2.278661527
12/29/2018,22.7469771,2.274697724
12/30/2018,22.70733897,2.270733921
12/31/2018,22.66770085,2.266770118
1/1/2019,22.62806272,2.262806316
1/2/2019,22.5884246,2.258842513
1/3/2019,22.54878647,2.25487871
1/4/2019,22.50914835,2.250914907
1/5/2019,22.46951022,2.246951105
1/6/2019,22.4298721,2.242987302
1/7/2019,22.39023397,2.239023499
1/8/2019,22.35059585,2.235059696
1/9/2019,22.31095772,2.231095894
1/10/2019,22.2713196,2.227132091
1/11/2019,22.23168147,2.223168288
1/12/2019,22.19204335,2.219204485
1/13/2019,22.15240523,2.215240683
1/14/2019,22.1127671,2.21127688
1/15/2019,22.07312898,2.207313077
1/16/2019,22.03349085,2.203349274
