Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
7/26/2021,2021,7,117,32,0.3,0.3
7/27/2021,2021,7,131,53,0.3,0.3
7/28/2021,2021,7,192,33,0.3,0.3
7/29/2021,2021,7,331,61,0.3,0.3
7/30/2021,2021,7,331,51,0.3,0.3
7/31/2021,2021,7,797,129,0.3,0.3
8/1/2021,2021,8,514,104,0.3,0.3
8/2/2021,2021,8,320,67,0.3,0.3
8/3/2021,2021,8,236,56,0.3,0.3
8/4/2021,2021,8,422,58,0.3,0.3
8/5/2021,2021,8,393,73,0.3,0.3
8/6/2021,2021,8,429,65,0.3,0.3
8/7/2021,2021,8,580,92,0.3,0.3
8/8/2021,2021,8,515,90,0.3,0.3
8/9/2021,2021,8,463,72,0.3,0.3
8/10/2021,2021,8,440,56,0.3,0.3
8/11/2021,2021,8,445,57,0.3,0.3
8/12/2021,2021,8,395,81,0.3,0.3
8/13/2021,2021,8,521,110,0.3,0.3
8/14/2021,2021,8,803,141,0.3,0.3
8/15/2021,2021,8,709,103,0.3,0.3
8/16/2021,2021,8,560,102,0.3,0.3
8/17/2021,2021,8,783,115,0.3,0.3
8/18/2021,2021,8,987,176,0.3,0.3
8/19/2021,2021,8,959,227,0.3,0.3
8/20/2021,2021,8,1526,248,0.3,0.3
8/21/2021,2021,8,1879,294,0.3,0.3
8/22/2021,2021,8,1603,240,0.3,0.3
8/23/2021,2021,8,1755,228,0.3,0.3
8/24/2021,2021,8,1648,149,0.3,0.3
8/25/2021,2021,8,1659,126,0.3,0.3
8/26/2021,2021,8,1545,105,0.3,0.3
8/27/2021,2021,8,1650,160,0.3,0.3
8/28/2021,2021,8,1677,193,0.3,0.3
8/29/2021,2021,8,1136,170,0.3,0.3
8/30/2021,2021,8,1056,91,0.3,0.3
8/31/2021,2021,8,1117,106,0.3,0.3
9/1/2021,2021,9,1081,97,0.3,0.3
9/2/2021,2021,9,1334,131,0.3,0.3
9/3/2021,2021,9,2144,209,0.3,0.3
9/4/2021,2021,9,1526,165,0.3,0.3
9/5/2021,2021,9,1335,148,0.3,0.3
9/6/2021,2021,9,931,106,0.3,0.3
9/7/2021,2021,9,1018,83,0.3,0.3
9/8/2021,2021,9,1110,72,0.3,0.3
9/9/2021,2021,9,1252,79,0.3,0.3
9/10/2021,2021,9,1659,148,0.3,0.3
9/11/2021,2021,9,2074,220,0.3,0.3
9/12/2021,2021,9,1140,111,0.3,0.3
9/13/2021,2021,9,850,72,0.3,0.3
9/14/2021,2021,9,1161,97,0.3,0.3
9/15/2021,2021,9,1233,66,0.3,0.3
9/16/2021,2021,9,1470,82,0.3,0.3
9/17/2021,2021,9,1371,107,0.3,0.3
9/18/2021,2021,9,1454,126,0.3,0.3
9/19/2021,2021,9,1069,73,0.3,0.3
9/20/2021,2021,9,1020,35,0.3,0.3
9/21/2021,2021,9,1129,44,0.3,0.3
9/22/2021,2021,9,1076,50,0.3,0.3
9/23/2021,2021,9,1209,62,0.3,0.3
9/24/2021,2021,9,1353,82,0.3,0.3
9/25/2021,2021,9,1315,72,0.3,0.3
9/26/2021,2021,9,928,65,0.3,0.3
9/27/2021,2021,9,986,46,0.3,0.3
9/28/2021,2021,9,1201,48,0.3,0.3
9/29/2021,2021,9,1029,46,0.3,0.3
9/30/2021,2021,9,1136,56,0.3,0.3
10/1/2021,2021,10,1311,56,0.3,0.3
10/2/2021,2021,10,1506,129,0.3,0.3
10/3/2021,2021,10,965,101,0.3,0.3
10/4/2021,2021,10,1044,57,0.3,0.3
10/5/2021,2021,10,1116,50,0.3,0.3
10/6/2021,2021,10,1105,54,0.3,0.3
10/7/2021,2021,10,1271,49,0.3,0.3
10/8/2021,2021,10,1844,104,0.3,0.3
10/9/2021,2021,10,2512,246,0.3,0.3
10/10/2021,2021,10,918,71,0.3,0.3
10/11/2021,2021,10,790,47,0.3,0.3
10/12/2021,2021,10,893,49,0.3,0.3
10/13/2021,2021,10,969,35,0.3,0.3
10/14/2021,2021,10,1073,26,0.3,0.3
10/15/2021,2021,10,1062,47,0.3,0.3
10/16/2021,2021,10,951,62,0.3,0.3
10/17/2021,2021,10,833,67,0.3,0.3
10/18/2021,2021,10,933,90,0.3,0.3
10/19/2021,2021,10,859,43,0.3,0.3
10/20/2021,2021,10,890,41,0.3,0.3
10/21/2021,2021,10,964,44,0.3,0.3
10/22/2021,2021,10,1013,83,0.3,0.3
10/23/2021,2021,10,1004,91,0.3,0.3
10/24/2021,2021,10,788,59,0.3,0.3
10/25/2021,2021,10,798,59,0.3,0.3
10/26/2021,2021,10,807,99,0.3,0.3
10/27/2021,2021,10,853,42,0.3,0.3
10/28/2021,2021,10,919,93,0.3,0.3
10/29/2021,2021,10,1249,83,0.3,0.3
10/30/2021,2021,10,1762,306,0.3,0.3
10/31/2021,2021,10,701,107,0.3,0.3
11/1/2021,2021,11,472,63,0.3,0.3
11/2/2021,2021,11,529,40,0.3,0.3
11/3/2021,2021,11,777,57,0.3,0.3
11/4/2021,2021,11,757,87,0.3,0.3
11/5/2021,2021,11,942,135,0.3,0.3
11/6/2021,2021,11,1008,196,0.3,0.3
11/7/2021,2021,11,634,125,0.3,0.3
11/8/2021,2021,11,651,74,0.3,0.3
11/9/2021,2021,11,719,93,0.3,0.3
11/10/2021,2021,11,713,101,0.3,0.3
11/11/2021,2021,11,667,81,0.3,0.3
11/12/2021,2021,11,828,143,0.3,0.3
11/13/2021,2021,11,1422,226,0.3,0.3
11/14/2021,2021,11,571,86,0.3,0.3
11/15/2021,2021,11,638,67,0.3,0.3
11/16/2021,2021,11,661,65,0.3,0.3
11/17/2021,2021,11,500,84,0.3,0.3
11/18/2021,2021,11,604,79,0.3,0.3
11/19/2021,2021,11,607,124,0.3,0.3
11/20/2021,2021,11,400,50,0.3,0.3
11/21/2021,2021,11,246,44,0.3,0.3
11/22/2021,2021,11,314,40,0.3,0.3
11/23/2021,2021,11,235,49,0.3,0.3
11/24/2021,2021,11,242,33,0.3,0.3
11/25/2021,2021,11,177,26,0.3,0.3
11/26/2021,2021,11,329,58,0.3,0.3
11/27/2021,2021,11,585,109,0.3,0.3
11/28/2021,2021,11,383,31,0.3,0.3
11/29/2021,2021,11,483,45,0.3,0.3
11/30/2021,2021,11,551,72,0.3,0.3
12/1/2021,2021,12,563,108,0.3,0.3
12/2/2021,2021,12,577,137,0.3,0.3
12/3/2021,2021,12,613,118,0.3,0.3
12/4/2021,2021,12,634,118,0.3,0.3
12/5/2021,2021,12,327,66,0.3,0.3
12/6/2021,2021,12,399,61,0.3,0.3
12/7/2021,2021,12,477,64,0.3,0.3
12/8/2021,2021,12,479,80,0.3,0.3
12/9/2021,2021,12,483,87,0.3,0.3
12/10/2021,2021,12,356,98,0.3,0.3
12/11/2021,2021,12,328,63,0.3,0.3
12/12/2021,2021,12,282,61,0.3,0.3
12/13/2021,2021,12,347,77,0.3,0.3
12/14/2021,2021,12,314,82,0.3,0.3
12/15/2021,2021,12,190,81,0.3,0.3
12/16/2021,2021,12,294,106,0.3,0.3
12/17/2021,2021,12,211,92,0.3,0.3
12/18/2021,2021,12,195,42,0.3,0.3
12/19/2021,2021,12,179,32,0.3,0.3
12/20/2021,2021,12,155,34,0.3,0.3
12/21/2021,2021,12,194,19,0.3,0.3
12/22/2021,2021,12,193,42,0.3,0.3
12/23/2021,2021,12,186,38,0.3,0.3
12/24/2021,2021,12,186,34,0.3,0.3
12/25/2021,2021,12,95,37,0.3,0.3
12/26/2021,2021,12,164,23,0.3,0.3
12/27/2021,2021,12,134,39,0.3,0.3
12/28/2021,2021,12,105,32,0.3,0.3
12/29/2021,2021,12,108,26,0.3,0.3
12/30/2021,2021,12,87,43,0.3,0.3
12/31/2021,2021,12,45,18,0.3,0.3
1/1/2022,2022,1,12,2,0.3,0.3
1/2/2022,2022,1,9,11,0.3,0.3
1/3/2022,2022,1,41,22,0.3,0.3
1/4/2022,2022,1,44,17,0.3,0.3
1/5/2022,2022,1,24,14,0.3,0.3
1/6/2022,2022,1,12,13,0.3,0.3
1/7/2022,2022,1,36,15,0.3,0.3
1/8/2022,2022,1,54,12,0.3,0.3
1/9/2022,2022,1,56,18,0.3,0.3
1/10/2022,2022,1,50,16,0.3,0.3
1/11/2022,2022,1,46,7,0.3,0.3
1/12/2022,2022,1,109,23,0.3,0.3
1/13/2022,2022,1,132,20,0.3,0.3
1/14/2022,2022,1,100,18,0.3,0.3
1/15/2022,2022,1,148,23,0.3,0.3
1/16/2022,2022,1,154,39,0.3,0.3
1/17/2022,2022,1,215,19,0.3,0.3
1/18/2022,2022,1,270,25,0.3,0.3
1/19/2022,2022,1,59,10,0.3,0.3
1/20/2022,2022,1,75,11,0.3,0.3
1/21/2022,2022,1,182,21,0.3,0.3
1/22/2022,2022,1,214,21,0.3,0.3
1/23/2022,2022,1,198,48,0.3,0.3
1/24/2022,2022,1,218,46,0.3,0.3
1/25/2022,2022,1,108,18,0.3,0.3
1/26/2022,2022,1,131,54,0.3,0.3
1/27/2022,2022,1,97,19,0.3,0.3
1/28/2022,2022,1,192,27,0.3,0.3
1/29/2022,2022,1,168,29,0.3,0.3
1/30/2022,2022,1,141,32,0.3,0.3
1/31/2022,2022,1,209,34,0.3,0.3
2/1/2022,2022,2,123,13,0.3,0.3
2/2/2022,2022,2,10,0,0.3,0.3
2/3/2022,2022,2,66,3,0.3,0.3
2/4/2022,2022,2,128,13,0.3,0.3
2/5/2022,2022,2,120,12,0.3,0.3
2/6/2022,2022,2,116,10,0.3,0.3
2/7/2022,2022,2,221,12,0.3,0.3
2/8/2022,2022,2,218,31,0.3,0.3
2/9/2022,2022,2,196,25,0.3,0.3
2/10/2022,2022,2,270,28,0.3,0.3
2/11/2022,2022,2,230,22,0.3,0.3
2/12/2022,2022,2,235,21,0.3,0.3
2/13/2022,2022,2,262,66,0.3,0.3
2/14/2022,2022,2,369,41,0.3,0.3
2/15/2022,2022,2,329,48,0.3,0.3
2/16/2022,2022,2,137,17,0.3,0.3
2/17/2022,2022,2,112,31,0.3,0.3
2/18/2022,2022,2,218,43,0.3,0.3
2/19/2022,2022,2,328,33,0.3,0.3
2/20/2022,2022,2,275,21,0.3,0.3
2/21/2022,2022,2,246,9,0.3,0.3
2/22/2022,2022,2,87,4,0.3,0.3
2/23/2022,2022,2,35,2,0.3,0.3
2/24/2022,2022,2,94,4,0.3,0.3
2/25/2022,2022,2,181,11,0.3,0.3
2/26/2022,2022,2,192,26,0.3,0.3
2/27/2022,2022,2,220,44,0.3,0.3
2/28/2022,2022,2,328,34,0.3,0.3
3/1/2022,2022,3,373,43,0.3,0.3
3/2/2022,2022,3,417,51,0.3,0.3
3/3/2022,2022,3,519,56,0.3,0.3
3/4/2022,2022,3,524,37,0.3,0.3
3/5/2022,2022,3,343,27,0.3,0.3
3/6/2022,2022,3,159,15,0.3,0.3
3/7/2022,2022,3,310,19,0.3,0.3
3/8/2022,2022,3,338,24,0.3,0.3
3/9/2022,2022,3,70,5,0.3,0.3
3/10/2022,2022,3,155,9,0.3,0.3
3/11/2022,2022,3,230,6,0.3,0.3
3/12/2022,2022,3,312,21,0.3,0.3
3/13/2022,2022,3,278,27,0.3,0.3
3/14/2022,2022,3,308,30,0.3,0.3
3/15/2022,2022,3,444,55,0.3,0.3
3/16/2022,2022,3,263,43,0.3,0.3
3/17/2022,2022,3,226,29,0.3,0.3
3/18/2022,2022,3,338,19,0.3,0.3
3/19/2022,2022,3,623,19,0.3,0.3
3/20/2022,2022,3,441,32,0.3,0.3
3/21/2022,2022,3,352,9,0.3,0.3
3/22/2022,2022,3,354,7,0.3,0.3
3/23/2022,2022,3,491,17,0.3,0.3
3/24/2022,2022,3,619,27,0.3,0.3
3/25/2022,2022,3,628,47,0.3,0.3
3/26/2022,2022,3,794,66,0.3,0.3
3/27/2022,2022,3,526,28,0.3,0.3
3/28/2022,2022,3,477,39,0.3,0.3
3/29/2022,2022,3,331,23,0.3,0.3
3/30/2022,2022,3,449,37,0.3,0.3
3/31/2022,2022,3,510,35,0.3,0.3
4/1/2022,2022,4,695,32,0.3,0.3
4/2/2022,2022,4,808,81,0.3,0.3
4/3/2022,2022,4,534,42,0.3,0.3
4/4/2022,2022,4,509,26,0.3,0.3
4/5/2022,2022,4,430,23,0.3,0.3
4/6/2022,2022,4,442,20,0.3,0.3
4/7/2022,2022,4,288,56,0.3,0.3
4/8/2022,2022,4,623,68,0.3,0.3
4/9/2022,2022,4,825,95,0.3,0.3
4/10/2022,2022,4,288,25,0.3,0.3
4/11/2022,2022,4,486,38,0.3,0.3
4/12/2022,2022,4,333,33,0.3,0.3
4/13/2022,2022,4,386,20,0.3,0.3
4/14/2022,2022,4,510,62,0.3,0.3
4/15/2022,2022,4,572,64,0.3,0.3
4/16/2022,2022,4,587,97,0.3,0.3
4/17/2022,2022,4,363,64,0.3,0.3
4/18/2022,2022,4,426,51,0.3,0.3
4/19/2022,2022,4,530,66,0.3,0.3
4/20/2022,2022,4,588,64,0.3,0.3
4/21/2022,2022,4,599,59,0.3,0.3
4/22/2022,2022,4,837,112,0.3,0.3
4/23/2022,2022,4,752,71,0.3,0.3
4/24/2022,2022,4,386,63,0.3,0.3
4/25/2022,2022,4,449,73,0.3,0.3
4/26/2022,2022,4,566,60,0.3,0.3
4/27/2022,2022,4,627,52,0.3,0.3
4/28/2022,2022,4,749,65,0.3,0.3
4/29/2022,2022,4,723,80,0.3,0.3
4/30/2022,2022,4,846,92,0.3,0.3
5/1/2022,2022,5,550,46,0.3,0.3
5/2/2022,2022,5,632,64,0.3,0.3
5/3/2022,2022,5,528,44,0.3,0.3
5/4/2022,2022,5,410,41,0.3,0.3
5/5/2022,2022,5,883,68,0.3,0.3
5/6/2022,2022,5,931,121,0.3,0.3
5/7/2022,2022,5,962,95,0.3,0.3
5/8/2022,2022,5,630,60,0.3,0.3
5/9/2022,2022,5,552,57,0.3,0.3
5/10/2022,2022,5,727,86,0.3,0.3
5/11/2022,2022,5,776,49,0.3,0.3
5/12/2022,2022,5,856,110,0.3,0.3
5/13/2022,2022,5,1044,111,0.3,0.3
5/14/2022,2022,5,1128,182,0.3,0.3
5/15/2022,2022,5,745,95,0.3,0.3
5/16/2022,2022,5,624,85,0.3,0.3
5/17/2022,2022,5,585,66,0.3,0.3
5/18/2022,2022,5,506,59,0.3,0.3
5/19/2022,2022,5,585,104,0.3,0.3
5/20/2022,2022,5,247,40,0.3,0.3
5/21/2022,2022,5,582,116,0.3,0.3
5/22/2022,2022,5,465,116,0.3,0.3
5/23/2022,2022,5,441,90,0.3,0.3
5/24/2022,2022,5,302,42,0.3,0.3
5/25/2022,2022,5,612,75,0.3,0.3
5/26/2022,2022,5,668,82,0.3,0.3
5/27/2022,2022,5,779,100,0.3,0.3
5/28/2022,2022,5,915,109,0.3,0.3
5/29/2022,2022,5,509,84,0.3,0.3
5/30/2022,2022,5,486,77,0.3,0.3
5/31/2022,2022,5,328,48,0.3,0.3
6/1/2022,2022,6,421,70,0.3,0.3
6/2/2022,2022,6,568,126,0.3,0.3
6/3/2022,2022,6,746,98,0.3,0.3
6/4/2022,2022,6,869,134,0.3,0.3
6/5/2022,2022,6,674,96,0.3,0.3
6/6/2022,2022,6,498,67,0.3,0.3
6/7/2022,2022,6,535,90,0.3,0.3
6/8/2022,2022,6,556,113,0.3,0.3
6/9/2022,2022,6,641,90,0.3,0.3
6/10/2022,2022,6,824,115,0.3,0.3
6/11/2022,2022,6,1163,108,0.3,0.3
6/12/2022,2022,6,1127,139,0.3,0.3
6/13/2022,2022,6,685,90,0.3,0.3
6/14/2022,2022,6,699,80,0.3,0.3
6/15/2022,2022,6,778,76,0.3,0.3
6/16/2022,2022,6,813,105,0.3,0.3
6/17/2022,2022,6,951,136,0.3,0.3
6/18/2022,2022,6,945,136,0.3,0.3
6/19/2022,2022,6,784,129,0.3,0.3
6/20/2022,2022,6,580,79,0.3,0.3
6/21/2022,2022,6,683,98,0.3,0.3
6/22/2022,2022,6,708,106,0.3,0.3
6/23/2022,2022,6,836,114,0.3,0.3
6/24/2022,2022,6,957,112,0.3,0.3
6/25/2022,2022,6,896,143,0.3,0.3
6/26/2022,2022,6,780,124,0.3,0.3
6/27/2022,2022,6,539,121,0.3,0.3
6/28/2022,2022,6,492,92,0.3,0.3
6/29/2022,2022,6,495,115,0.3,0.3
6/30/2022,2022,6,526,123,0.3,0.3
7/1/2022,2022,7,888,143,0.3,0.3
7/2/2022,2022,7,1204,197,0.3,0.3
7/3/2022,2022,7,798,167,0.3,0.3
7/4/2022,2022,7,790,112,0.3,0.3
7/5/2022,2022,7,570,160,0.3,0.3
7/6/2022,2022,7,537,177,0.3,0.3
7/7/2022,2022,7,614,127,0.3,0.3
7/8/2022,2022,7,824,156,0.3,0.3
7/9/2022,2022,7,755,156,0.3,0.3
7/10/2022,2022,7,716,167,0.3,0.3
7/11/2022,2022,7,628,121,0.3,0.3
7/12/2022,2022,7,685,132,0.3,0.3
7/13/2022,2022,7,574,148,0.3,0.3
7/14/2022,2022,7,702,190,0.3,0.3
7/15/2022,2022,7,773,202,0.3,0.3
7/16/2022,2022,7,880,269,0.3,0.3
7/17/2022,2022,7,701,235,0.3,0.3
7/18/2022,2022,7,583,181,0.3,0.3
7/19/2022,2022,7,546,160,0.3,0.3
7/20/2022,2022,7,560,164,0.3,0.3
7/21/2022,2022,7,638,150,0.3,0.3
7/22/2022,2022,7,782,215,0.3,0.3
7/23/2022,2022,7,668,158,0.3,0.3
7/24/2022,2022,7,863,208,0.3,0.3
7/25/2022,2022,7,761,228,0.3,0.3
7/26/2022,2022,7,767,213,0.3,0.3
7/27/2022,2022,7,852,152,0.3,0.3
7/28/2022,2022,7,681,124,0.3,0.3
7/29/2022,2022,7,861,163,0.3,0.3
7/30/2022,2022,7,848,162,0.3,0.3
7/31/2022,2022,7,585,151,0.3,0.3
8/1/2022,2022,8,423,128,0.3,0.3
8/2/2022,2022,8,474,99,0.3,0.3
8/3/2022,2022,8,449,90,0.3,0.3
8/4/2022,2022,8,468,159,0.3,0.3
8/5/2022,2022,8,548,197,0.3,0.3
8/6/2022,2022,8,703,193,0.3,0.3
8/7/2022,2022,8,461,173,0.3,0.3
8/8/2022,2022,8,439,132,0.3,0.3
8/9/2022,2022,8,416,134,0.3,0.3
8/10/2022,2022,8,411,186,0.3,0.3
8/11/2022,2022,8,517,193,0.3,0.3
8/12/2022,2022,8,617,235,0.3,0.3
8/13/2022,2022,8,572,268,0.3,0.3
8/14/2022,2022,8,536,218,0.3,0.3
8/15/2022,2022,8,401,150,0.3,0.3
8/16/2022,2022,8,588,233,0.3,0.3
8/17/2022,2022,8,810,287,0.3,0.3
8/18/2022,2022,8,993,388,0.3,0.3
8/19/2022,2022,8,1160,546,0.3,0.3
8/20/2022,2022,8,945,646,0.3,0.3
8/21/2022,2022,8,813,453,0.3,0.3
